1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
110,Arizona,AZ,2,H6AZ02155,,John,Thrasher,"Thrasher, John",,D,"27,711",100.00%,,,"125,611",37.16%,,,,,,,,,,,,,,,,,,,,,,
111,Arizona,AZ,2,n/a,,,,,Party Votes:,D,"27,711",,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LBT,199,100.00%,,,"7,882",2.33%,,,,,,,,,,,,,,,,,,,,,,
113,Arizona,AZ,2,n/a,,,,,Party Votes:,LBT,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Arizona,AZ,2,H6AZ00027,,William,Crum,"Crum, William",,GRE,118,100.00%,,,"3,616",1.07%,,,,,,,,,,,,,,,,,,,,,,
115,Arizona,AZ,2,n/a,,,,,Party Votes:,GRE,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Arizona,AZ,2,n/a,,,,,District Votes:,,"86,735",,,,"338,023",,,,,,,,,,,,,,,,,,,,,,,
117,Arizona,AZ,3,H4AZ04016,(I),John,Shadegg,"Shadegg, John",,R,"43,538",100.00%,,,"148,800",54.08%,,,,,,,,,,,,,,,,,,,,,,
118,Arizona,AZ,3,n/a,,,,,Party Votes:,R,"43,538",,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Arizona,AZ,3,H8AZ03100,,Bob,Lord,"Lord, Bob",,D,"22,554",100.00%,,,"115,759",42.07%,,,,,,,,,,,,,,,,,,,,,,
120,Arizona,AZ,3,n/a,,,,,Party Votes:,D,"22,554",,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Arizona,AZ,3,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,LBT,228,100.00%,,,"10,602",3.85%,,,,,,,,,,,,,,,,,,,,,,
122,Arizona,AZ,3,n/a,,,,,Party Votes:,LBT,228,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Arizona,AZ,3,n/a,,,,,District Votes:,,"66,320",,,,"275,161",,,,,,,,,,,,,,,,,,,,,,,
