1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
102,AZ,Arizona,3,n/a,,,,,District Votes:,,"47,581",,,,"104,428",,,,,,,
103,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
104,AZ,Arizona,4,H0AZ01259 ,(I),Paul,Gosar,"Gosar, Paul",,R,"65,354",100.00%,,,"122,560",69.96%,,,,,W,
105,AZ,Arizona,4,n/a,,,,,Party Votes:,R,"65,354",,,,,,,,,,,
106,AZ,Arizona,4,H2AZ04143,,Mike,Weisser,"Weisser, Mike",,D,"19,643",100.00%,,,"45,179",25.79%,,,,,,
107,AZ,Arizona,4,n/a,,,,,Party Votes:,D,"19,643",,,,,,,,,,,
108,AZ,Arizona,4,H4AZ04099,,Chris,Rike,"Rike, Chris",,W(LIB)/LIB,29,100.00%,,,"7,440",4.25%,,,,,,
109,AZ,Arizona,4,n/a,,,,,Party Votes:,LIB,29,,,,,,,,,,,
110,AZ,Arizona,4,n/a,,,,,District Votes:,,"85,026",,,,"175,179",,,,,,,
111,AZ,Arizona,5,H4AZ01038 ,(I),Matt,Salmon,"Salmon, Matt",,R,"71,690",100.00%,,,"124,867",69.58%,,,,,W,
112,AZ,Arizona,5,n/a,,,,,Party Votes:,R,"71,690",,,,,,,,,,,
113,AZ,Arizona,5,H4AZ05088,,James,Woods,"Woods, James",,D,"20,249",100.00%,,,"54,596",30.42%,,,,,,
114,AZ,Arizona,5,n/a,,,,,Party Votes:,D,"20,249",,,,,,,,,,,
115,AZ,Arizona,5,n/a,,,,,District Votes:,,"91,939",,,,"179,463",,,,,,,
116,AZ,Arizona,6,H4AZ06045,(I),David ,Schweikert,"Schweikert, David ",,R,"69,902",100.00%,,,"129,578",64.86%,,,,,W,
117,AZ,Arizona,6,n/a,,,,,Party Votes:,R,"69,902",,,,,,,,,,,
118,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,"25,306",100.00%,,,"70,198",35.14%,,,,,,
119,AZ,Arizona,6,n/a,,,,,Party Votes:,D,"25,306",,,,,,,,,,,
120,AZ,Arizona,6,n/a,,,,,District Votes:,,"95,208",,,,"199,776",,,,,,,
121,AZ,Arizona,7,H4AZ07043 ,,Ruben,Gallego,"Gallego, Ruben",,D,"14,936",48.90%,,,"54,235",74.85%,,,,,W,
122,AZ,Arizona,7,H4AZ07068,,Mary Rose,Wilcox,"Wilcox, Mary Rose",,D,"11,077",36.27%,,,,,,,,,,
123,AZ,Arizona,7,H2AZ02220 ,,Randy ,Camacho,"Camacho, Randy ",,D,"2,330",7.63%,,,,,,,,,,
124,AZ,Arizona,7,H4AZ07076,,Jarrett,Maupin,"Maupin, Jarrett",,D,"2,199",7.20%,,,,,,,,,,
125,AZ,Arizona,7,n/a,,,,,Party Votes:,D,"30,542",,,,,,,,,,,
126,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,300,100.00%,,,"10,715",14.79%,,,,,,
127,AZ,Arizona,7,n/a,,,,,Party Votes:,LIB,300,,,,,,,,,,,
128,AZ,Arizona,7,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,W(AE)/AE,4,100.00%,,,"3,858",5.32%,,,,,,
129,AZ,Arizona,7,n/a,,,,,Party Votes:,AE,4,,,,,,,,,,,
130,AZ,Arizona,7,H0AZ04501,,Jos_,Pe_alosa,"Pe_alosa, Jos_",,JP,,,,,"3,496",4.83%,,,,,,
131,AZ,Arizona,7,H4AZ07126,,Gary,Dunn,"Dunn, Gary",,W,,,,,129,0.18%,,,,,,
