STATE ABBREVIATION,DISTRICT,INCUMBENT INDICATOR,NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL ,COMBINED PARTIES
CA,36,,"Konopka, John R. ",REF,"1,044",,"3,549",
CA,36,,"Davies, William D.",W,,,395,
CA,37,(I),"Millender-McDonald, Juanita ",D,"58,646",,"93,269",
CA,37,,"Peters, Herb ",LBT,"2,248",,"3,150",
CA,37,,"Glazer, Margaret ",NL,"2,751",,"4,094",
CA,37,,"Van, Vernon ",R,"8,048",,"12,762",
CA,38,,"Graham, Ken ",D,"7,248",,,
CA,38,,"Gruwell, Erin ",D,"16,062",,,
CA,38,,"Mathews, Peter ",D,"13,937",,,
CA,38,,"Schipske, Gerrie ",D,"17,676",,"85,498",
CA,38,,"Neglia, Jack ",LBT,"1,765",,"3,614",
CA,38,,"Blasdell-Wilkinson, Karen ",NL,"1,396",,"3,744",
CA,38,(I),"Horn, Steve ",R,"59,209",,"87,266",
CA,39,,"Kanel, Gill G. ",D,"35,816",,"64,938",
CA,39,,"Gann, Keith D. ",LBT,"3,576",,"5,275",
CA,39,,"Jevning, Ron ",NL,"3,865",,"6,597",
CA,39,(I),"Royce, Ed ",R,"91,626",,"129,294",
CA,40,,"Lindberg, Jay ",LBT,"8,155",,"18,924",
CA,40,,"Schmit, Frank N. ",NL,"8,687",,"19,029",
CA,40,(I),"Lewis, Jerry ",R,"86,315",,"151,069",
CA,40,,"Martinez, Ron Dwayne",W(D),92,,,
CA,41,,"Favila, Rodolfo G. ",D,"32,528",,"66,361",
CA,41,,"Kramer, David ",NL,"3,519",,"6,560",
CA,41,,"Ma, Tony (Anthony) ",R,"7,140",,,
CA,41,(I),"Miller, Gary G. ",R,"60,953",,"104,695",
CA,42,(I),"Baca, Joe ",D,"49,234",,"90,585",
CA,42,,"Ballard, John ""Scott"" ",LBT,"2,066",,"4,059",
CA,42,,"Hartley, Gwyn ",NL,"1,855",,"3,694",
CA,42,,"Kim, Jay ",R,"7,119",,,
CA,42,,"Pirozzi, Elia ",R,"27,947",,"53,239",
CA,43,,"Reed, Bill ",LBT,"9,627",,"29,755",
CA,43,,"Adam, Nat ",NL,"6,956",,"20,376",
CA,43,(I),"Calvert, Ken ",R,"73,660",,"140,201",
CA,43,,"Collen, Martin ",R,"31,907",,,
CA,43,,"Jafri, Khalid ",R,"4,448",,,
CA,43,,"Vandenberg, Louis John",W(D),290,,,
CA,43,,"James, Cary",W(D),148,,,
CA,43,,"Caudle, Herre",W(D),35,,,
CA,44,,"Gordon, Jon ",D,"9,765",,,
CA,44,,"Harney, Tom ",D,"13,170",,,
CA,44,,"Oden, Ron ",D,"20,079",,"79,302",
CA,44,,"Wofford, Doug ",D,"6,124",,,
CA,44,,"Meuer, Jim ",NL,764,,"2,012",
CA,44,(I),"Bono, Mary ",R,"79,365",,"123,738",
CA,44,,"Mathewson, Bud ",R,"9,800",,,
CA,44,,"Smith, Gene ",REF,"1,628",,"4,135",
CA,45,,"Crisell, Ted ",D,"37,755",,"71,066",
CA,45,,"Hull, Don ",LBT,"4,901",,"8,409",
CA,45,,"Betton, Constance ",NL,"2,208",,"3,635",
CA,45,,"Pham, Long K. ",R,"10,942",,,
CA,45,(I),"Rohrabacher, Dana ",R,"89,174",,"136,275",
CA,46,(I),"Sanchez, Loretta ",D,"40,031",,"70,381",
CA,46,,"Boddie, Richard B. ",LBT,"1,769",,"3,159",
CA,46,,"Engwall, Larry ",NL,"1,431",,"2,440",
CA,46,,"Garber, Howard ",R,"9,518",,,
CA,46,,"Tuchman, Gloria Matta ",R,"16,606",,"40,928",
CA,47,,"Graham, John ",D,"18,913",,"83,186",
CA,47,,"Irvine, Don ",D,"16,510",,,
